City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,torbay,47.6666,-52.7314,267.91,88,100,4.12,CA,1676241030
221,hamina,60.5697,27.1979,273.33,92,96,4.53,FI,1676241156
222,batemans bay,-35.7167,150.1833,292.09,74,100,2.29,AU,1676241006
223,henties bay,-22.116,14.2845,291.73,85,0,3.54,NA,1676241156
224,ostrovnoy,68.0531,39.5131,268.89,94,100,9.06,RU,1676241156
225,san buenaventura,27.0833,-101.5333,293.66,18,100,0.0,MX,1676240723
226,teya,60.3778,92.6267,245.09,100,83,1.45,RU,1676241157
227,klaksvik,62.2266,-6.589,281.66,85,96,11.17,FO,1676241157
228,faya,18.3851,42.4509,286.44,37,0,2.24,SA,1676241157
229,aykhal,66.0,111.5,247.22,100,82,3.63,RU,1676241157
230,saint-gedeon,48.5001,-71.7658,269.98,92,92,0.73,CA,1676241158
231,kathu,7.9178,98.3332,298.05,76,96,1.8,TH,1676241158
232,riverton,40.5219,-111.9391,280.4,52,0,2.24,US,1676241029
233,aklavik,68.2191,-135.0107,242.41,95,99,1.77,CA,1676241158
234,bud,39.447,-86.1758,286.12,42,0,2.11,US,1676241158
235,san vicente,-26.6167,-54.1333,298.4,58,14,1.39,AR,1676241158
236,totness,5.8833,-56.3167,298.1,84,90,5.61,SR,1676241159
237,nantucket,41.2835,-70.0995,279.23,84,0,3.09,US,1676241039
238,hofn,64.2539,-15.2082,278.77,95,100,5.68,IS,1676241159
239,sobolevo,54.4299,31.8996,268.0,93,95,3.87,RU,1676241160
240,watsa,3.0372,29.5355,295.46,32,47,0.71,CD,1676241160
241,vanimo,-2.6741,141.3028,299.68,85,97,1.9,PG,1676241160
242,sevsk,52.1491,34.4926,264.28,95,21,3.67,RU,1676241161
243,santo antonio do ica,-3.1022,-67.9397,297.44,95,83,0.53,BR,1676241161
244,hamilton,39.1834,-84.5333,285.84,23,0,4.63,US,1676241161
245,severo-yeniseyskiy,60.3725,93.0408,246.0,99,41,1.72,RU,1676241077
246,longyearbyen,78.2186,15.6401,267.06,63,20,6.69,SJ,1676241161
247,tuatapere,-46.1333,167.6833,292.95,60,14,1.15,NZ,1676241162
248,mapiripan,2.8892,-72.1256,303.78,42,95,2.02,CO,1676241162
249,itarema,-2.9248,-39.9167,299.99,82,75,6.66,BR,1676241162
250,kemin,42.7846,75.6892,266.24,56,2,3.92,KG,1676241163
251,ostersund,63.1792,14.6357,275.4,100,75,4.12,SE,1676241163
252,seoul,37.5683,126.9778,277.81,81,75,2.57,KR,1676241013
253,zhangye,38.9342,100.4517,268.18,92,100,1.88,CN,1676241164
254,vila velha,-20.3297,-40.2925,300.12,88,20,7.2,BR,1676241164
255,rio verde de mato grosso,-18.9181,-54.8442,295.68,96,98,2.38,BR,1676241164
256,kyaikkami,16.08,97.5675,296.38,72,17,2.68,MM,1676241165
257,sainte-anne-des-monts,49.124,-66.4924,272.08,69,36,9.26,CA,1676241165
258,luderitz,-26.6481,15.1594,290.04,93,0,2.59,NA,1676241166
259,abu dhabi,24.4667,54.3667,293.21,60,0,1.03,AE,1676241000
260,port hardy,50.6996,-127.4199,280.25,100,100,5.14,CA,1676241166
261,muros,42.7762,-9.0603,282.64,71,99,3.14,ES,1676241166
262,hit,33.6416,42.8251,281.59,45,5,4.12,IQ,1676241167
263,atuona,-9.8,-139.0333,299.14,78,3,7.19,PF,1676241167
264,jieshi,22.8134,115.8257,293.52,92,55,2.22,CN,1676241167
265,maputo,-25.9653,32.5892,299.97,89,75,5.14,MZ,1676241168
266,kruisfontein,-34.0033,24.7314,294.75,80,97,2.47,ZA,1676241168
267,acarau,-2.8856,-40.12,300.07,82,69,7.22,BR,1676241168
268,pisco,-13.7,-76.2167,300.18,65,0,6.17,PE,1676240990
269,prikubanskiy,45.0015,41.1795,271.25,97,100,5.33,RU,1676241169
270,beresti-tazlau,46.4667,26.6667,269.35,74,0,3.6,RO,1676241169
